253.902, 129.967, 8.342, 13.500 False
253.068, 129.933, 8.341, 13.600 False
252.235, 129.899, 8.341, 13.700 False
251.401, 129.865, 8.340, 13.800 False
250.568, 129.832, 8.340, 13.900 False
249.735, 129.799, 8.339, 14.000 False
248.901, 129.767, 8.339, 14.100 False
248.068, 129.735, 8.338, 14.200 False
247.235, 129.704, 8.338, 14.300 False
246.402, 129.673, 8.338, 14.400 False
245.569, 129.644, 8.337, 14.500 False
244.735, 129.614, 8.337, 14.600 False
243.902, 129.586, 8.337, 14.700 False
243.069, 129.558, 8.336, 14.800 False
242.236, 129.531, 8.336, 14.900 False
241.403, 129.505, 8.336, 15.000 False
240.569, 129.479, 8.336, 15.100 False
239.736, 129.454, 8.336, 15.200 False
238.903, 129.431, 8.335, 15.300 False
238.070, 129.411, 8.335, 15.400 False
237.236, 129.391, 8.335, 15.500 False
236.403, 129.372, 8.335, 15.600 False
235.570, 129.354, 8.335, 15.700 False
234.736, 129.337, 8.335, 15.800 False
233.903, 129.321, 8.334, 15.900 False
233.070, 129.305, 8.334, 16.000 False
232.236, 129.290, 8.334, 16.100 False
231.403, 129.276, 8.334, 16.200 False
230.570, 129.264, 8.334, 16.300 False
229.737, 129.251, 8.334, 16.400 False
228.903, 129.240, 8.334, 16.500 False
228.070, 129.229, 8.334, 16.600 False
227.237, 129.220, 8.334, 16.700 False
226.403, 129.211, 8.334, 16.800 False
225.570, 129.203, 8.334, 16.900 False
224.737, 129.196, 8.334, 17.000 False
223.903, 129.189, 8.334, 17.100 False
223.070, 129.183, 8.334, 17.200 False
222.237, 129.178, 8.334, 17.300 False
221.403, 129.174, 8.334, 17.400 False
220.570, 129.170, 8.333, 17.500 False
219.737, 129.167, 8.333, 17.600 False
218.903, 129.165, 8.333, 17.700 False
218.070, 129.162, 8.333, 17.800 False
217.237, 129.161, 8.333, 17.900 False
216.403, 129.160, 8.333, 18.000 False
215.570, 129.160, 8.333, 18.100 False
214.737, 129.160, 8.333, 18.200 False
213.903, 129.161, 8.333, 18.300 False
213.070, 129.162, 8.333, 18.400 False
212.237, 129.164, 8.333, 18.500 False
211.403, 129.166, 8.333, 18.600 False
210.570, 129.169, 8.333, 18.700 False
209.737, 129.172, 8.333, 18.800 False
208.903, 129.176, 8.333, 18.900 False
208.070, 129.180, 8.333, 19.000 False
207.237, 129.184, 8.333, 19.100 False
206.403, 129.189, 8.333, 19.200 False
205.570, 129.194, 8.333, 19.300 False
204.737, 129.200, 8.333, 19.400 False
