-181.797, 72.118, 2.347,  4.603
-181.791, 72.039, 2.354,  4.636
-181.785, 71.961, 2.362,  4.669
-181.780, 71.882, 2.369,  4.702
-181.774, 71.803, 2.377,  4.735
-181.769, 71.724, 2.384,  4.768
-181.763, 71.644, 2.392,  4.801
-181.758, 71.565, 2.400,  4.834
-181.753, 71.484, 2.407,  4.867
-181.748, 71.404, 2.415,  4.900
-181.743, 71.324, 2.422,  4.933
-181.738, 71.243, 2.430,  4.966
-181.734, 71.162, 2.438,  4.999
-181.729, 71.080, 2.446,  5.032
-181.725, 70.999, 2.454,  5.065
-181.720, 70.917, 2.461,  5.098
-181.716, 70.835, 2.469,  5.131
-181.712, 70.752, 2.477,  5.164
-181.707, 70.669, 2.485,  5.197
-181.703, 70.586, 2.493,  5.230
-181.699, 70.503, 2.501,  5.263
-181.695, 70.420, 2.509,  5.296
-181.692, 70.336, 2.517,  5.329
-181.688, 70.252, 2.525,  5.362
-181.684, 70.168, 2.533,  5.395
-181.681, 70.083, 2.541,  5.428
-181.677, 69.998, 2.549,  5.461
-181.674, 69.913, 2.557,  5.494
-181.670, 69.828, 2.566,  5.527
-181.667, 69.742, 2.574,  5.560
-181.664, 69.656, 2.582,  5.593
-181.661, 69.570, 2.590,  5.626
-181.658, 69.483, 2.599,  5.659
-181.655, 69.396, 2.607,  5.692
-181.652, 69.309, 2.616,  5.725
-181.649, 69.222, 2.625,  5.758
-181.646, 69.134, 2.633,  5.791
-181.643, 69.046, 2.641,  5.824
-181.640, 68.958, 2.649,  5.857
-181.638, 68.869, 2.658,  5.890
-181.635, 68.781, 2.667,  5.923
-181.633, 68.692, 2.676,  5.956
-181.630, 68.602, 2.684,  5.989
-181.628, 68.512, 2.693,  6.022
-181.625, 68.423, 2.702,  6.055
-181.623, 68.332, 2.711,  6.088
-181.621, 68.242, 2.719,  6.121
-181.618, 68.151, 2.728,  6.154
-181.616, 68.060, 2.737,  6.187
-181.614, 67.968, 2.746,  6.220
-181.612, 67.876, 2.755,  6.253
-181.610, 67.784, 2.764,  6.286
-181.608, 67.692, 2.773,  6.319
-181.606, 67.599, 2.782,  6.352
-181.604, 67.506, 2.791,  6.385
-181.602, 67.413, 2.800,  6.418
-181.601, 67.320, 2.810,  6.451
-181.599, 67.226, 2.819,  6.484
-181.597, 67.132, 2.828,  6.517
-181.596, 67.037, 2.837,  6.550
-181.594, 66.942, 2.847,  6.583
-181.592, 66.847, 2.856,  6.616
-181.591, 66.752, 2.865,  6.649
-181.589, 66.656, 2.875,  6.682
-181.588, 66.560, 2.884,  6.715
-181.586, 66.464, 2.893,  6.748
-181.585, 66.367, 2.903,  6.781
-181.583, 66.270, 2.913,  6.814
-181.582, 66.173, 2.922,  6.847
-181.581, 66.075, 2.932,  6.880
-181.579, 65.977, 2.941,  6.913
-181.578, 65.879, 2.951,  6.946
-181.577, 65.780, 2.961,  6.979
-181.576, 65.681, 2.971,  7.012
-181.574, 65.582, 2.981,  7.045
-181.573, 65.482, 2.991,  7.078
-181.572, 65.382, 3.000,  7.111
-181.571, 65.282, 3.010,  7.144
-181.570, 65.181, 3.020,  7.177
-181.569, 65.080, 3.030,  7.210
-181.568, 64.979, 3.040,  7.243
-181.567, 64.878, 3.050,  7.276
-181.566, 64.776, 3.060,  7.309
-181.565, 64.673, 3.070,  7.342
-181.564, 64.571, 3.080,  7.375
-181.563, 64.468, 3.090,  7.408
-181.562, 64.365, 3.100,  7.441
-181.561, 64.261, 3.111,  7.474
-181.560, 64.157, 3.121,  7.507
-181.560, 64.053, 3.131,  7.540
-181.559, 63.948, 3.142,  7.573
-181.558, 63.843, 3.152,  7.606
-181.557, 63.738, 3.162,  7.639
-181.557, 63.632, 3.173,  7.672
-181.556, 63.526, 3.184,  7.705
-181.555, 63.420, 3.194,  7.738
-181.554, 63.313, 3.205,  7.771
-181.554, 63.206, 3.215,  7.804
-181.553, 63.099, 3.226,  7.837
-181.552, 62.991, 3.236,  7.870
-181.552, 62.883, 3.247,  7.903
-181.551, 62.774, 3.258,  7.936
-181.550, 62.665, 3.269,  7.969
-181.550, 62.556, 3.280,  8.002
-181.549, 62.446, 3.291,  8.035
-181.549, 62.336, 3.302,  8.068
-181.548, 62.226, 3.313,  8.101
-181.548, 62.115, 3.324,  8.134
-181.547, 62.004, 3.334,  8.167
-181.546, 61.893, 3.345,  8.200
-181.546, 61.781, 3.356,  8.233
-181.545, 61.669, 3.368,  8.266
-181.545, 61.556, 3.379,  8.299
-181.544, 61.443, 3.390,  8.332
-181.544, 61.330, 3.402,  8.365
-181.544, 61.216, 3.413,  8.398
-181.543, 61.102, 3.424,  8.431
-181.543, 60.988, 3.436,  8.464
-181.542, 60.873, 3.447,  8.497
-181.542, 60.758, 3.459,  8.530
-181.541, 60.642, 3.470,  8.563
-181.541, 60.526, 3.481,  8.596
-181.541, 60.410, 3.493,  8.629
-181.540, 60.293, 3.504,  8.662
-181.540, 60.176, 3.516,  8.695
-181.539, 60.059, 3.528,  8.728
-181.539, 59.941, 3.540,  8.761
-181.539, 59.823, 3.552,  8.794
-181.538, 59.704, 3.564,  8.827
-181.538, 59.585, 3.575,  8.860
-181.538, 59.465, 3.587,  8.893
-181.537, 59.345, 3.599,  8.926
-181.537, 59.225, 3.611,  8.959
-181.537, 59.105, 3.623,  8.992
-181.536, 58.983, 3.635,  9.025
-181.536, 58.862, 3.647,  9.058
-181.536, 58.740, 3.659,  9.091
-181.535, 58.618, 3.671,  9.124
-181.535, 58.495, 3.683,  9.157
-181.535, 58.372, 3.696,  9.190
-181.534, 58.249, 3.708,  9.223
-181.534, 58.125, 3.721,  9.256
-181.534, 58.000, 3.733,  9.289
-181.534, 57.876, 3.745,  9.322
-181.533, 57.750, 3.757,  9.355
-181.533, 57.625, 3.770,  9.388
-181.533, 57.499, 3.783,  9.421
-181.533, 57.372, 3.796,  9.454
-181.532, 57.246, 3.808,  9.487
-181.532, 57.118, 3.821,  9.520
-181.532, 56.991, 3.834,  9.553
-181.531, 56.862, 3.846,  9.586
-181.531, 56.734, 3.859,  9.619
-181.531, 56.605, 3.872,  9.652
-181.531, 56.476, 3.885,  9.685
-181.530, 56.346, 3.897,  9.718
-181.530, 56.216, 3.910,  9.751
-181.530, 56.085, 3.923,  9.784
-181.530, 55.954, 3.937,  9.817
-181.530, 55.822, 3.950,  9.850
-181.529, 55.690, 3.963,  9.883
-181.529, 55.558, 3.976,  9.916
-181.529, 55.425, 3.989,  9.949
-181.529, 55.292, 4.002,  9.982
-181.528, 55.158, 4.015, 10.015
-181.528, 55.024, 4.028, 10.048
-181.528, 54.889, 4.042, 10.081
-181.528, 54.754, 4.055, 10.114
-181.527, 54.619, 4.068, 10.147
-181.527, 54.483, 4.082, 10.180
-181.527, 54.346, 4.096, 10.213
-181.527, 54.209, 4.109, 10.246
-181.527, 54.072, 4.123, 10.279
-181.526, 53.934, 4.136, 10.312
-181.526, 53.796, 4.150, 10.345
-181.526, 53.657, 4.164, 10.378
-181.526, 53.518, 4.178, 10.411
-181.526, 53.379, 4.191, 10.444
-181.525, 53.239, 4.205, 10.477
-181.525, 53.098, 4.219, 10.510
-181.525, 52.957, 4.233, 10.543
-181.525, 52.816, 4.247, 10.576
-181.525, 52.674, 4.261, 10.609
-181.525, 52.531, 4.275, 10.642
-181.524, 52.388, 4.290, 10.675
-181.524, 52.245, 4.304, 10.708
-181.524, 52.101, 4.318, 10.741
-181.524, 51.957, 4.332, 10.774
-181.524, 51.812, 4.347, 10.807
-181.523, 51.667, 4.361, 10.840
-181.523, 51.521, 4.375, 10.873
-181.523, 51.375, 4.390, 10.906
-181.523, 51.228, 4.404, 10.939
-181.523, 51.081, 4.419, 10.972
-181.522, 50.933, 4.433, 11.005
-181.522, 50.785, 4.448, 11.038
-181.522, 50.637, 4.463, 11.071
-181.522, 50.488, 4.478, 11.104
-181.522, 50.338, 4.493, 11.137
-181.521, 50.188, 4.508, 11.170
-181.521, 50.037, 4.523, 11.203
-181.521, 49.886, 4.538, 11.236
-181.521, 49.734, 4.553, 11.269
-181.521, 49.582, 4.568, 11.302
-181.520, 49.430, 4.583, 11.335
-181.520, 49.276, 4.598, 11.368
-181.520, 49.123, 4.613, 11.401
-181.520, 48.969, 4.629, 11.434
-181.520, 48.814, 4.644, 11.467
-181.519, 48.659, 4.659, 11.500
-181.519, 48.503, 4.675, 11.533
-181.519, 48.347, 4.690, 11.566
-181.519, 48.190, 4.706, 11.599
-181.519, 48.033, 4.722, 11.632
-181.518, 47.875, 4.737, 11.665
-181.518, 47.717, 4.753, 11.698
-181.518, 47.558, 4.769, 11.731
-181.518, 47.398, 4.785, 11.764
-181.518, 47.239, 4.801, 11.797
-181.517, 47.078, 4.817, 11.830
-181.517, 46.917, 4.833, 11.863
-181.517, 46.756, 4.849, 11.896
-181.517, 46.594, 4.865, 11.929
-181.516, 46.431, 4.881, 11.962
-181.516, 46.268, 4.897, 11.995
-181.516, 46.104, 4.914, 12.028
-181.516, 45.940, 4.930, 12.061
-181.516, 45.775, 4.947, 12.094
-181.515, 45.610, 4.963, 12.127
-181.515, 45.444, 4.979, 12.160
-181.515, 45.278, 4.996, 12.193
-181.515, 45.111, 5.013, 12.226
-181.514, 44.943, 5.029, 12.259
-181.514, 44.775, 5.046, 12.292
-181.514, 44.607, 5.063, 12.325
-181.514, 44.437, 5.080, 12.358
-181.513, 44.268, 5.097, 12.391
-181.513, 44.097, 5.113, 12.424
-181.513, 43.927, 5.120, 12.457
-181.513, 43.757, 5.107, 12.490
-181.512, 43.587, 5.094, 12.523
-181.512, 43.417, 5.094, 12.556
-181.512, 43.247, 5.108, 12.589
-181.512, 43.076, 5.135, 12.622
-181.512, 42.904, 5.169, 12.655
-181.511, 42.731, 5.206, 12.688
-181.511, 42.556, 5.242, 12.721
-181.511, 42.380, 5.274, 12.754
-181.511, 42.204, 5.300, 12.787
-181.510, 42.026, 5.323, 12.820
-181.510, 41.848, 5.343, 12.853
-181.510, 41.670, 5.361, 12.886
-181.509, 41.491, 5.378, 12.919
-181.509, 41.311, 5.394, 12.952
-181.509, 41.131, 5.411, 12.985
-181.509, 40.950, 5.428, 13.018
-181.508, 40.769, 5.446, 13.051
-181.508, 40.587, 5.463, 13.084
-181.508, 40.404, 5.482, 13.117
-181.508, 40.221, 5.500, 13.150
-181.507, 40.038, 5.519, 13.183
-181.507, 39.853, 5.537, 13.216
-181.507, 39.668, 5.556, 13.249
-181.506, 39.483, 5.575, 13.282
-181.506, 39.296, 5.594, 13.315
-181.506, 39.109, 5.613, 13.348
-181.506, 38.922, 5.632, 13.381
-181.505, 38.734, 5.650, 13.414
-181.505, 38.545, 5.669, 13.447
-181.505, 38.355, 5.688, 13.480
-181.504, 38.165, 5.707, 13.513
-181.504, 37.975, 5.726, 13.546
-181.504, 37.783, 5.746, 13.579
-181.503, 37.591, 5.765, 13.612
-181.503, 37.399, 5.785, 13.645
-181.503, 37.206, 5.804, 13.678
-181.503, 37.012, 5.824, 13.711
-181.502, 36.817, 5.843, 13.744
-181.502, 36.622, 5.862, 13.777
-181.502, 36.426, 5.882, 13.810
-181.501, 36.230, 5.901, 13.843
-181.501, 36.032, 5.921, 13.876
-181.501, 35.835, 5.941, 13.909
-181.500, 35.636, 5.961, 13.942
-181.500, 35.437, 5.981, 13.975
-181.500, 35.237, 6.001, 14.008
-181.499, 35.037, 6.021, 14.041
-181.499, 34.835, 6.041, 14.074
-181.499, 34.634, 6.061, 14.107
-181.498, 34.431, 6.082, 14.140
-181.498, 34.228, 6.102, 14.173
-181.497, 34.024, 6.123, 14.206
-181.497, 33.819, 6.143, 14.239
-181.497, 33.614, 6.164, 14.272
-181.496, 33.408, 6.184, 14.305
-181.496, 33.202, 6.205, 14.338
